hgnc_symbol	mim_morbid
A1BG	NA
A1CF	NA
A2M	614036
A2M	104300
A3GALT2	NA
A4GALT	111400
A4GNT	NA
AAAS	231550
AACS	NA
AADACL3	NA
AADAT	NA
AAGAB	148600
AAK1	NA
AAMDC	NA
AAMP	NA
AANAT	614163
AAR2	NA
AARS	616339
AARS	613287
AARS2	615889
AARS2	614096
AARSD1	NA
AASDH	NA
AASDHPPT	NA
AASS	268700
AASS	238700
AATF	NA
AATK	NA
ABAT	613163
ABCA1	604091
ABCA1	205400
ABCA1	143890
ABCA10	NA
ABCA13	NA
ABCA2	NA
ABCA3	610921
ABCA4	604116
ABCA4	601718
ABCA4	248200
ABCA4	153800
ABCA5	NA
ABCA6	NA
ABCA7	NA
ABCA8	NA
ABCA9	NA
ABCB1	612244
ABCB1	120080
ABCB10	NA
ABCB11	605479
ABCB11	601847
ABCB4	NA
ABCB6	615402
ABCB6	614497
ABCB6	609153
ABCB6	111600
ABCB7	301310
ABCB8	NA
ABCC1	NA
ABCC10	NA
ABCC12	NA
ABCC13	NA
ABCC2	237500
ABCC3	NA
ABCC4	NA
ABCC5	NA
ABCC6	614473
ABCC6	264800
ABCC6	177850
ABCC8	NA
ABCC9	614050
ABCC9	608569
ABCC9	239850
ABCD1	300100
ABCD2	NA
ABCD3	616278
ABCD4	614857
ABCE1	NA
ABCF1	NA
ABCF2	NA
ABCF3	NA
ABCG1	NA
ABCG2	614490
ABCG2	138900
ABCG4	NA
ABCG5	210250
ABCG8	611465
ABCG8	210250
ABHD1	NA
ABHD10	NA
ABHD11	NA
ABHD14A-ACY1	NA
ABHD14B	NA
ABHD15	NA
ABHD16A	NA
ABHD17A	NA
ABHD4	NA
ABHD5	275630
ABHD6	NA
ABHD8	NA
ABI1	NA
ABI2	NA
ABI3	NA
ABI3BP	NA
ABL1	NA
ABL2	NA
ABLIM1	NA
ABLIM2	NA
ABLIM3	NA
ABO	616093
ABR	NA
ABRA	NA
ABT1	NA
ABTB1	NA
ABTB2	NA
ACAA1	NA
ACAA2	NA
ACACA	613933
ACACB	NA
ACAD10	NA
ACAD11	NA
ACAD8	611283
ACAD9	611126
ACADL	NA
ACADM	201450
ACADS	201470
ACADSB	610006
ACADVL	201475
ACAN	NA
ACAP1	NA
ACAP2	NA
ACAP3	NA
ACAT1	203750
ACAT2	614055
ACBD3	NA
ACBD4	NA
ACBD6	NA
ACBD7	NA
ACCS	NA
ACCSL	NA
ACD	616553
ACE	614519
ACE	612624
ACE	267430
ACE	104300
ACE2	NA
ACER1	NA
ACER2	NA
ACER3	NA
ACHE	112100
ACIN1	NA
ACKR1	611862
ACKR1	611162
ACKR1	110700
ACKR2	NA
ACKR3	NA
ACKR4	NA
ACLY	NA
ACMSD	NA
ACO1	NA
ACO2	616289
ACO2	614559
ACOT1	NA
ACOT11	NA
ACOT12	NA
ACOT13	NA
ACOT2	NA
ACOT4	NA
ACOT6	NA
ACOT7	NA
ACOT8	NA
ACOT9	NA
ACOX1	264470
ACOX2	NA
ACOX3	NA
ACOXL	NA
ACP1	NA
ACP5	607944
ACP6	NA
ACPP	NA
ACPT	NA
ACR	NA
ACRBP	NA
ACRV1	NA
ACSBG1	NA
ACSBG2	NA
ACSF2	NA
ACSF3	614265
ACSL1	NA
ACSL3	NA
ACSL4	300387
ACSL5	NA
ACSL6	NA
ACSM1	NA
ACSM2A	NA
ACSM2B	NA
ACSM3	NA
ACSM4	NA
ACSM5	NA
ACSM6	NA
ACSS1	NA
ACSS2	NA
ACSS3	NA
ACTA1	616852
ACTA1	255310
ACTA1	161800
ACTA2	614042
ACTA2	613834
ACTA2	611788
ACTB	607371
ACTB	243310
ACTBL2	NA
ACTC1	613424
ACTC1	612794
ACTC1	612098
ACTG1	614583
ACTG1	604717
ACTG2	NA
ACTL6A	NA
ACTL6B	NA
ACTL7A	NA
ACTL7B	NA
ACTL8	NA
ACTL9	NA
ACTN1	615193
ACTN2	612158
ACTN3	NA
ACTN4	603278
ACTR10	NA
ACTR1A	NA
ACTR1B	NA
ACTR2	NA
ACTR3	NA
ACTR3B	NA
ACTR3C	NA
ACTR5	NA
ACTR6	NA
ACTR8	NA
ACTRT1	NA
ACTRT2	NA
ACVR1	135100
ACVR1B	NA
ACVR1C	NA
ACVR2A	NA
ACVR2B	613751
ACVRL1	600376
ACY1	609924
ACY3	NA
ACYP1	NA
ACYP2	NA
ADA	102700
ADAD1	NA
ADAD2	NA
ADAL	NA
ADAM10	615590
ADAM10	615537
ADAM11	NA
ADAM12	NA
ADAM15	NA
ADAM17	614328
ADAM18	NA
ADAM19	NA
ADAM2	NA
ADAM20	NA
ADAM21	NA
ADAM22	NA
ADAM23	NA
ADAM28	NA
ADAM30	NA
ADAM33	NA
ADAM7	NA
ADAM8	NA
ADAM9	612775
